PC1 PC2
0.6261972 1.038685
1.155797 1.112628
0.6770814 0.0465099
1.566516 3.314217
0.4393634 0.9860403
2.181507 1.753163
-0.5685314 1.579151
-0.1208004 3.539645
2.592708 0.1091698
-0.7686837 1.538484
0.4262448 1.940603
2.230383 2.803336
-2.21055 1.720704
-1.660259 2.255501
1.377297 3.026461
0.4324545 1.601636
-0.7716728 0.8313067
1.488148 1.975589
1.246481 2.515889
2.34996 2.510662
0.3703876 1.641417
0.9066745 -0.08631186
1.489066 0.9641671
-2.532122 1.273786
-0.2152121 2.064824
0.7726828 1.986478
1.080719 0.1427278
-0.7057302 1.95204
1.854597 0.2054123
1.541731 1.587251
0.2130361 2.52754
-1.580319 -0.390123
1.126446 2.52539
-0.3796326 2.235125
0.5459118 1.329565
1.700428 2.269297
0.8947586 1.763481
0.1670443 1.667551
0.09326913 1.335565
0.8628775 1.743355
1.825587 2.686875
-0.2634367 0.524222
-1.2397 3.119969
0.02513404 1.799768
1.234055 -0.4771928
2.261082 -1.102129
1.487935 0.4526063
2.911673 0.5062525
-1.60682 3.022106
-0.8274291 5.605173
0.4870029 4.146112
0.5449562 2.414466
-0.4321517 -0.1449435
-0.5873492 0.5032422
-0.0485749 2.3909
2.34841 0.6954594
-2.668964 0.6586864
1.347135 2.288546
-1.133179 0.2054518
-0.0007666425 1.340585
0.7970429 1.240623
2.20896 1.521598
0.6654528 1.116799
-0.6764721 1.170971
1.200862 -0.113335
0.5151074 0.5078926
-0.7196651 1.792437
-0.3694626 2.733596
0.845149 1.284644
0.5193214 3.148954
1.564109 2.015699
-0.5983045 2.365887
-0.08487247 -0.6915783
1.759124 1.259035
3.027692 0.4306066
-0.05296415 2.558991
-0.1276524 -0.3513679
0.9369274 -0.1892943
0.8958189 2.080934
-1.456956 3.811217
1.349337 2.507273
-0.3565894 2.177259
1.075277 0.4921603
-0.0268992 0.007261705
0.6605517 -0.4086828
0.5545565 -0.07207835
-0.981046 0.1588049
-1.789015 1.884771
0.2268492 1.154902
2.60497 1.407633
-0.9373268 2.38619
0.8266417 1.092786
-0.991636 0.6733713
-0.5595867 1.060391
2.381687 1.579161
2.24965 -0.7857671
1.27798 2.157517
-0.1288692 0.05827821
1.233489 -0.1428454
-0.2813163 1.541329
